,product_name,energy-kcal_100g
0,Круассан,406.0
1,Пончики Берлинские с вареной сгущенкой,420.0
2,Фузилли С Курицей В Сырном Соусе,175.7
3,Мятый Картофель Со Свиной Вырезкой В Соусе Терияки,150.12
4,Кешью сырой сушеный,553.0
5,Арахис жареный соленый,585.0
6,Tea mix,384.0
7,Фасоль натуральная красная (консервы),80.0
8,Круассан с ветчиной и сыром,348.5
9,Кусадилья С Куриным Филе И Перцем,252.4
10,Сормовское сливочное печенье,420.0
11,"Салат С Куриным Филе, Огурцом И Кунжутом",53.6
12,Сэндвич С Куриным Рулетом и Сыром Гауда,142.0
13,соломка сладкая,380.0
14,Coconut Milk,189.0
15,ROUND TOP WHITE sliced bread,285.71428571429
16,Natural raspberry flavored brewed iced tea,40.169133192389
17,Nabisco triscuit crackers garden herb 1x9 oz,429.0
18,Peanut butter,593.75
19,Ramen Noodle Soup,425.0
20,Diet orange soda,0.0
21,Wexford Irish style Creme Ale,36.1
22,KIRKLAND Моцарелла красная тертая,379.0
23,7up,35.67
24,Actimel Вишня,72.975
25,Actimel Гранат,72.155
26,Actimel Земляника и шиповник,72.155
27,Actimel Клубника,72.155
28,Actimel Малина и клюква,72.155
29,Actimel Мультифрукт,74.205
30,Actimel Натуральный,69.394
31,Actimel Черника и ежевика,72.975
32,Fruttis Сливочное лакомство Клубника-Земляника,125.17
33,Neo Имунеле Natural,64.121
34,Neo Имунеле Гранат-Вишня,72.238
35,Neo Имунеле Клюква-Малина,73.058
36,Neo Имунеле Лесные ягоды,75.108
37,Абрикос,41.519
38,Абрикос консервированный,66.119
39,Абрикосовая косточка,545.563
40,Абрикосовый компот,88.15
41,Абрикосовый сок,41.519
42,Абсент,36.08
43,Авокадо,218.6
44,Агар пищевой,328.0
45,Аджика,62.253
46,Ажгон,264.265
47,Азу,222.528
48,Айва,47.285
49,Айвовый компот,83.64
50,Айвовый сок,45.51
51,Айран (тан) газированный,24.185
52,Айран (тан) из козьего молока,24.185
53,Айран (тан) негазированный,24.185
54,Айран (тан) негазированный нежирный,12.108
55,Айран (тан) с укропом и огурцом,19.54
56,Айран (тан) сильногазированный,19.54
57,Айсинг,332.51
58,Аки,176.25
59,Активиа Быстрый завтрак Клубника,129.332
60,Активиа Быстрый завтрак Натуральный,107.519
61,Активиа Быстрый завтрак с овсянкой Яблоко-Груша,112.029
62,Активиа Кефирная 1%,39.63
63,Активиа Кефирная 3%,54.52
64,Активиа Момент удовольствия Вишня,98.883
65,Активиа Момент удовольствия Земляника,95.603
66,Активиа Питьевая Ананас,80.08
67,Активиа Питьевая Бифидойогурт Классический 1.5%,45.505
68,Активиа Питьевая Вишня и чёрная смородина,81.72
69,Активиа Питьевая Злаки,82.758
70,Активиа Питьевая Клубника и земляника,82.758
71,Активиа Питьевая Малина и злаки,76.089
72,Активиа Питьевая Натуральная,53.866
73,Активиа Питьевая Чернослив,82.54
74,Активиа Питьевая Яблоко и злаки,85.218
75,Активиа Семейная Клубника,101.478
76,Активиа Семейная Персик,101.478
77,Активиа Творожная Клубника,125.855
78,Активиа Творожная Малина,105.765
79,Активиа Творожная Мюсли,125.855
80,Активиа Творожная Мюсли и манго,121.755
81,Активиа Творожная Натуральная,81.165
82,Активиа Творожная Отруби и злаки,116.207
83,Активиа Творожная Чернослив,117.328
84,Активиа Фреш Арбуз,76.774
85,Активиа Фреш Вишня,71.444
86,Активиа Фреш Гранат и Малина,71.444
87,Активиа Фреш Манго,75.544
88,Активиа Фреш Персик,71.444
89,Акула катран,146.62
90,Акульи плавники,130.692
91,Алыча,29.11
92,Амарант,403.69
93,Амарантовые отруби Di&Di с гречей,354.495
94,Амарантовые отруби Di&Di с ламинарией,282.719
95,Амарантовые отруби Di&Di с топинамбуром,354.495
96,Американская смесь Hortex,35.395
97,Амур белый,125.497
98,Амур чёрный,90.33
99,Ананас,46.958
100,Ананас консервированный,58.739
101,Ананасовый компот,58.739
102,Ананасовый нектар,53.3
103,Ананасовый сок,48.899
104,Ангурия (Антильский огурец),50.617
105,Анис,365.011
106,Антрекот,408.748
107,Антрекот из говядины,225.408
108,Антрекот из свинины,208.712
109,Анчоус атлантический,139.079
110,Анчоусная паста,271.64
111,Анчоусы консервированные,139.079
112,Аньолотти,344.369
113,Апельсин,38.758
114,Апельсин маринованный,38.95
115,Апельсиновый нектар,42.64
116,Апельсиновый сок,38.758
117,Арахис,568.328
118,Арахис Джаз жареный соленый,655.28
119,Арахис Степановна обжаренный соленый,609.448
120,Арахис сушеный,630.358
121,Арбуз,27.169
122,Арбуз консервированный,39.879
123,Арбузный сок,27.579
124,Аргентина,90.74
125,Арракача,74.729
126,Артишок,30.449
127,Асафетида,1.749
128,Ассорти Бондюэль из сладкого перца,26.048
129,Ассорти Бондюэль из фасоли с ананасами в соусе Карри,63.929
130,"Ассорти Бондюэль из цветной капусты, романеско и брокколи",67.723
131,Ассорти мясное,268.335
132,Ассорти овощное,18.559
133,Ассорти рыбное,88.353
134,Ацерола,35.997
135,Ацидофилин 0.1%,29.219
136,Ацидофилин 1%,37.99
137,Ацидофилин 3.2%,56.788
138,Ацидофилин 3.2% сладкий,76.468
139,Ацидофилин Останкинский 2.5%,51.925
140,Баветте,346.227
141,Багель,347.266
142,Багет,268.431
143,Бадьян,427.44
144,Базилик свежий,33.454
145,Базилик сушеный,346.3
146,Баклажан,24.299
147,Баклажан консервированный,40.123
148,Баклажанная икра консервированная,151.437
149,Баклажанная икра свежая,92.09
150,Баклажаны 4 сезона запечённые порционные,46.958
151,Баклажаны 4 сезона нарезанные,27.579
152,Баклажаны по-корейски готовые,110.26
153,Баклажаны фаршированные готовые,92.749
154,Бамбук листья,24.6
155,Бамбук побеги вареные,11.698
156,Бамбук побеги консервированные,18.066
157,Бамбук побеги сырые,25.747
158,Бамия,24.709
159,Бамия 4 сезона,34.549
160,Банан,97.388
161,Банановый сок,49.2
162,Бананы сушёные,362.762
163,Барабулька (султанка),114.842
164,Бараний окорок,241.02
165,Бараний рубец,84.31
166,Бараний фарш,283.37
167,Бараний язык,201.229
168,Баранина,215.387
169,Баранина вареная,299.666
170,Баранина жареная,304.96
171,Баранина тушеная,276.161
172,Баранки,361.89
173,Баранье сердце,78.575
174,Бараньи почки,78.985
175,Бараньи яйца,230.22
176,Баранья лопатка,296.21
177,Баранья печень,103.611
178,Барбарис,32.39
179,Барбарис сушеный,155.8
180,Баренцев Анчоус солёно-сушёный,265.93
181,Баренцев Кальмар кольца,248.18
182,Баренцев Кальмар копчёный,248.18
183,Баренцев Кальмар солёно-сушёный,293.28
184,Баренцев Креветка со специями,197.06
185,Баренцев Окинэль ломтики филе,287.764
186,Баренцев Окинэль с перцем,287.764
187,Баренцев Соломка рыбная оригинальная,236.97
188,Баренцев Соломка рыбная подкопченная,236.97
189,Баренцев Сомуль солёно-сушёный,280.928
190,Баренцев Ставридка золотистая подкопченная,271.12
191,Баренцев Ставридка серебристая солёно-сушёная,271.12
192,Баренцев Тунец солёно-сушёный,239.767
193,Баренцев Чиксы рыбка с перцем,287.764
194,Баскет 16 крыльев,313.995
195,Баскет 25 крыльев,323.503
196,Баскет Дуэт оригинальный и острый,278.449
197,Баскет Пати,291.18
198,Баскет Стар,280.499
199,Бастурма турецкая,247.409
200,Батон Нарезной,266.381
201,Батон Подмосковный,262.364
202,Батон с пшеничными отрубями,274.472
203,Батон Столичный,244.822
204,Батончик BSN Syntha-6 Decadence,427.834
205,Батончик Corny Big злаковый с бананом и шоколадом,435.178
206,Батончик Corny Big злаковый с клюквой,385.676
207,Батончик Corny Big злаковый с лесными орехами,430.284
208,Батончик Corny Big злаковый с шоколадом,444.52
209,Батончик Dymatize Elite XT Gourmet Protein Bar 42,418.352
210,Батончик Dymatize Elite XT Gourmet Protein Bar 85,386.419
211,Батончик Energy System Perform-Bar,386.75
212,Батончик Herbalife Протеиновый,387.394
213,Батончик Herbalife Формула 1 Экспресс,348.683
214,Батончик Ironman Slim Bar протеиновый с L-карнитином,328.52
215,Батончик Multipower 32% Protein Pack,416.66
216,Батончик Multipower Crunch Fit,429.303
217,Батончик Multipower Energate!,459.483
218,Батончик Multipower L-Carnitine Bar,338.194
219,Батончик Multipower Power Pack,403.104
220,Батончик MyProtein My Bar Zero,231.345
221,Батончик Nestle Fitness с цельными злаками и клубникой,368.513
222,Батончик Optimum 100% Whey Crisp Bar,384.814
223,Батончик Optimum Complete Protein Diet Bar,367.34
224,Батончик Optimum Optimal Protein Diet Bar,399.05
225,Батончик Performance Bar,451.127
226,Батончик Scitec Nutrition Jumbo Bar Double Chocolate Cookie,387.778
227,Батончик Леовит Худеем за неделю Мюсли Фенхель с зелёным чаем,375.136
228,Батончик мюсли Ego с бананом в шоколаде,424.715
229,Батончик мюсли Ego с вишней в йогурте,384.26
230,Батончик мюсли Ego с клубникой в йогурте,427.855
231,Батончик мюсли Ego с лесными ягодами в йогурте,426.765
232,Батончик мюсли Ego с черникой в йогурте,429.36
233,Батончик мюсли Tekmar клубника в йогурте,464.392
234,Батончик Пульсар с миндалем в шоколадной глазури,396.041
235,Батончик Сладкий мир фруктовый хлеб банановый,362.654
236,Батончик Турбослим белковый для похудения,213.72
237,Батончик фруктовый Joyfield с абрикосом в шоколаде,342.184
238,Батончик фруктовый Joyfield с абрикосом и яблоком,324.637
239,Батончик фруктовый Joyfield с лимонником и папайей,335.297
240,Батончик фруктовый Joyfield с полевой клубникой,331.306
241,Батончик фруктовый Joyfield с черникой,322.696
242,Батончик фруктовый Joyfield с черносливом в шоколаде,318.84
243,Батончик фруктовый Joyfield с черносливом и ананасом,326.495
244,Батончик фруктовый Joyfield с черносливом и яблоком,301.075
245,Баурсак,239.814
246,Бахарат,231.448
247,Бедренец камнеломка,0.0
248,Бекон,512.35
249,Белоглазка,90.33
250,Белорыбица,90.33
251,Белуга бланшированная,240.454
252,Белуга свежая,92.603
253,Белуга сушеная,335.827
254,Белые грибы Hortex,35.473
255,Белые жареные,169.565
256,Белые маринованные,25.145
257,Белые свежие,35.473
258,Белые сушёные,282.496
259,Бельдюга,90.33
260,Бербере,54.229
261,Березовый сок,24.19
262,Берикс,90.662
263,Бессмертник,21.32
264,Бестер,92.603
265,Бефстроганов,367.706
266,Бефстроганов из говядины,197.637
267,Бефстроганов из курицы,80.49
268,Бефстроганов из свинины,145.499
269,Бизонье мясо,99.708
270,Биойогурт Останкинский 2.5%,72.835
271,Биойогурт Тёма Груша-яблоко,86.692
272,Биойогурт Тёма Зеленое яблоко,87.102
273,Биойогурт Тёма Лесные ягоды,86.282
274,Биойогурт Тёма Шиповник-малина,88.332
275,Биокефир Агуша 3.2%,57.198
276,Биокефир Останкинский 0.1%,27.989
277,Биокефир Тёма детский 3.2%,58.018
278,Биотворог Тёма c черникой,113.638
279,Биотворог Тёма c черносливом,112.818
280,Биотворог Тёма классический,98.11
281,Биотворог Тёма с абрикосом,114.048
282,Биотворог Тёма с яблоком и морковью,112.408
283,Бисквитник Сдобная особа медовый с вареной сгущенкой,392.824
284,Бисквитник Сдобная особа с начинкой маракуйя,386.928
285,Бисквитник Сдобная особа шоколадный с шоколадной начинкой,386.487
286,Бифацил,67.505
287,Бифитат,62.336
288,Бифштекс,395.934
289,Блинчики Ермолино с печенью Мамины,307.45
290,Блины,245.877
291,Блины с ветчиной,300.895
292,Блины с ветчиной и сыром,391.018
293,Блины с грибами,205.541
294,Блины с красной икрой,331.448
295,Блины с маслом,340.468
296,Блины с мёдом,361.575
297,Блины с сёмгой,322.921
298,Блины с сыром,357.377
299,Блины со сгущеным молоком,319.376
300,Блины со сметаной,321.167
301,Блюдо армянское Бозбаш 4 сезона,116.955
302,Блюдо болгарское Жаркое по-деревенски 4 сезона,140.019
303,Блюдо греческое Мясо по-македонски 4 сезона,207.809
304,Блюдо грузинское Чахохбили с фасолью 4 сезона,90.455
305,Блюдо индийское Цыплёнок карри 4 сезона,142.888
306,Блюдо испанское Паэлья 4 сезона,128.32
307,Блюдо итальянское Пенне карбонара 4 сезона,196.106
308,Блюдо итальянское Ризотто с морепродуктами 4 сезона,163.186
309,Блюдо китайское Курочка по-пекински 4 сезона,101.997
310,Блюдо китайское Свинина в кисло-сладком соусе 4 сезона,166.046
311,Блюдо латиноамериканское Цыплёнок по-мексикански 4 сезона,149.895
312,Блюдо мексиканское Чили кон карне 4 сезона,172.362
313,Блюдо наше Макароны по-флотски 4 сезона,210.051
314,Блюдо русское Барашек с гречкой 4 сезона,224.962
315,Блюдо среднеазиатское Лагман 4 сезона,154.841
316,Блюдо тайское Лапша карри 4 сезона,135.716
317,Блюдо узбекское Плов с бараниной 4 сезона,134.05
318,Блюдо французское Шампиньон де пари 4 сезона,136.635
319,Блюдо швейцарское Фондю эменталь 4 сезона,181.678
